sid	ch	det	crystal	a0	a1	a2
0	0	0	0	-0.00552877	0.100403	-6.13761e-09
0	1	1	0	0.0	1.0	0.0
0	2	2	0	0.244597	0.0998444	-5.95565e-10
0	3	3	0	0.0	1.0	0.0
0	4	4	0	0.0	0.0	0.0
0	5	5	0	0.0	1.0	0.0
0	6	6	0	-0.260649	0.100035	-1.2351e-08
0	7	7	0	0.0	1.0	0.0
0	8	8	0	-0.491129	0.10071	-3.39172e-08
0	9	9	0	0.0	1.0	0.0
0	10	10	0	-0.00671674	0.100144	-1.26589e-08
0	11	11	0	0.0	1.0	0.0
0	12	12	0	0.389565	0.100312	-6.26231e-09
0	13	13	0	0.0	1.0	0.0
0	14	14	0	0.059615	0.0998669	-1.48757e-08
0	15	15	0	0.0	1.0	0.0
1	0	16	0	-0.162389	0.0998225	8.69578e-09
1	1	17	0	0.0	1.0	0.0
1	2	18	0	-0.00723877	0.100153	-1.41982e-08
1	3	19	0	0.0	1.0	0.0
1	4	20	0	0.00228612	0.099749	4.04663e-08
1	5	21	0	0.0	1.0	0.0
1	6	22	0	-0.0513577	0.099727	1.07355e-09
1	7	23	0	0.0	1.0	0.0
1	8	24	0	0.233834	0.100009	7.66488e-09
1	9	25	0	0.0	1.0	0.0
1	10	26	0	0.3379	0.100233	-1.80057e-08
1	11	27	0	0.0	1.0	0.0
1	12	28	0	-3.86875	0.105952	-1.0929e-07
1	13	29	0	0.0	1.0	0.0
1	14	30	0	-0.295106	0.0999553	4.06089e-08
1	15	31	0	0.0	1.0	0.0
2	0	32	0	0.13064	0.100127	-1.20356e-08
2	1	33	0	0.0	1.0	0.0
