sid	ch	det	crystal	a0	a1	a2
0	0	0	0	0.110755	0.100463	-1.13568e-09
0	1	1	0	0.0	1.0	0.0
0	2	2	0	0.191234	0.0998594	-1.10961e-09
0	3	3	0	0.0	1.0	0.0
0	4	4	0	0.0	0.0	0.0
0	5	5	0	0.0	1.0	0.0
0	6	6	0	-0.172893	0.0999739	-7.00564e-09
0	7	7	0	0.0	1.0	0.0
0	8	8	0	-0.401582	0.100698	-2.54687e-08
0	9	9	0	0.0	1.0	0.0
0	10	10	0	0.0974807	0.100083	-9.40436e-09
0	11	11	0	0.0	1.0	0.0
0	12	12	0	0.520117	0.100219	2.22563e-10
0	13	13	0	0.0	1.0	0.0
0	14	14	0	0.0938441	0.0998007	-1.01872e-08
0	15	15	0	0.0	1.0	0.0
1	0	16	0	-0.0127508	0.0998255	2.52808e-09
1	1	17	0	0.0	1.0	0.0
1	2	18	0	-0.00723877	0.100153	-1.41982e-08
1	3	19	0	0.0	1.0	0.0
1	4	20	0	0.00228612	0.099749	4.04663e-08
1	5	21	0	0.0	1.0	0.0
1	6	22	0	-0.0620493	0.100054	-6.52531e-10
1	7	23	0	0.0	1.0	0.0
1	8	24	0	0.206773	0.0999961	7.10549e-09
1	9	25	0	0.0	1.0	0.0
1	10	26	0	0.371522	0.100143	-7.36948e-09
1	11	27	0	0.0	1.0	0.0
1	12	28	0	-4.02163	0.105965	-1.05111e-07
1	13	29	0	0.0	1.0	0.0
1	14	30	0	0.423178	0.0996041	2.96409e-08
1	15	31	0	0.0	1.0	0.0
2	0	32	0	0.142395	0.100079	-6.65476e-09
2	1	33	0	0.0	1.0	0.0
