sid	ch	det	crystal	a0	a1	a2
0	0	0	0	0.168353	0.099915	2.01072e-09
0	1	1	0	0.0	1.0	0.0
0	2	2	0	0.22648	0.0995809	4.15033e-09
0	3	3	0	0.0	1.0	0.0
0	4	4	0	0.0	0.0	0.0
0	5	5	0	0.0	1.0	0.0
0	6	6	0	-0.172115	0.0998521	-1.11487e-08
0	7	7	0	0.0	1.0	0.0
0	8	8	0	-0.36583	0.10052	-2.76195e-08
0	9	9	0	0.0	1.0	0.0
0	10	10	0	0.0614199	0.0999478	-1.11171e-08
0	11	11	0	0.0	1.0	0.0
0	12	12	0	0.31277	0.100423	-4.17148e-09
0	13	13	0	0.0	1.0	0.0
0	14	14	0	0.177106	0.0996732	-8.32207e-09
0	15	15	0	0.0	1.0	0.0
1	0	16	0	0.0779204	0.0996539	1.37911e-09
1	1	17	0	0.0	1.0	0.0
1	2	18	0	-0.0136811	0.0998558	-1.46318e-08
1	3	19	0	0.0	1.0	0.0
1	4	20	0	1.07371	0.0989648	8.83399e-08
1	5	21	0	0.0	1.0	0.0
1	6	22	0	-0.0437903	0.0996717	6.74114e-09
1	7	23	0	0.0	1.0	0.0
1	8	24	0	0.208576	0.100025	4.27748e-09
1	9	25	0	0.0	1.0	0.0
1	10	26	0	0.173613	0.100219	-1.04478e-08
1	11	27	0	0.0	1.0	0.0
1	12	28	0	-2.30271	0.105436	-6.55869e-08
1	13	29	0	0.0	1.0	0.0
1	14	30	0	0.631064	0.0997798	4.43565e-08
1	15	31	0	0.0	1.0	0.0
2	0	32	0	0.156977	0.100057	-6.37597e-09
2	1	33	0	0.0	1.0	0.0
