sid	ch	det	crystal	a0	a1	a2
0	0	0	0	0.0946395	0.100495	-7.59812e-09
0	1	1	0	0.0	1.0	0.0
0	2	2	0	0.225772	0.0998502	1.44338e-10
0	3	3	0	0.0	1.0	0.0
0	4	4	0	0.0	0.0	0.0
0	5	5	0	0.0	1.0	0.0
0	6	6	0	-0.311059	0.100013	-1.47461e-08
0	7	7	0	0.0	1.0	0.0
0	8	8	0	-0.281461	0.100566	-2.35149e-08
0	9	9	0	0.0	1.0	0.0
0	10	10	0	-0.0847359	0.100144	-1.80851e-08
0	11	11	0	0.0	1.0	0.0
0	12	12	0	0.689294	0.100073	8.96161e-09
0	13	13	0	0.0	1.0	0.0
0	14	14	0	0.118523	0.0997804	-1.17029e-08
0	15	15	0	0.0	1.0	0.0
1	0	16	0	-0.0127508	0.0998255	2.52808e-09
1	1	17	0	0.0	1.0	0.0
1	2	18	0	-0.00723877	0.100153	-1.41982e-08
1	3	19	0	0.0	1.0	0.0
1	4	20	0	0.00228612	0.099749	4.04663e-08
1	5	21	0	0.0	1.0	0.0
1	6	22	0	-0.0620493	0.100054	-6.52531e-10
1	7	23	0	0.0	1.0	0.0
1	8	24	0	0.233834	0.100009	7.66488e-09
1	9	25	0	0.0	1.0	0.0
1	10	26	0	1.4541	0.0670741	6.65688e-07
1	11	27	0	0.0	1.0	0.0
1	12	28	0	-4.80238	0.106268	-1.31783e-07
1	13	29	0	0.0	1.0	0.0
1	14	30	0	-0.216491	0.0995757	4.65563e-08
1	15	31	0	0.0	1.0	0.0
2	0	32	0	0.0768345	0.100137	-1.6476e-08
2	1	33	0	0.0	1.0	0.0
