sid	ch	det	crystal	a0	a1	a2
0	0	0	0	0.198376	0.100666	8.54037e-09
0	1	1	0	0.0	1.0	0.0
0	2	2	0	0.418439	0.0997937	2.0986e-08
0	3	3	0	0.0	1.0	0.0
0	4	4	0	0.0	0.0	0.0
0	5	5	0	0.0	1.0	0.0
0	6	6	0	-0.0733449	0.0999115	-1.09099e-08
0	7	7	0	0.0	1.0	0.0
0	8	8	0	-0.150807	0.100355	-2.90545e-08
0	9	9	0	0.0	1.0	0.0
0	10	10	0	0.0937705	0.100014	-1.1059e-08
0	11	11	0	0.0	1.0	0.0
0	12	12	0	0.486153	0.100237	7.00096e-09
0	13	13	0	0.0	1.0	0.0
0	14	14	0	0.0512939	0.0996934	-5.27254e-09
0	15	15	0	0.0	1.0	0.0
1	0	16	0	0.390987	0.0996361	3.77757e-08
1	1	17	0	0.0	1.0	0.0
1	2	18	0	-0.562559	0.100643	-6.88281e-08
1	3	19	0	0.0	1.0	0.0
1	4	20	0	0.121916	0.0993845	4.30422e-08
1	5	21	0	0.0	1.0	0.0
1	6	22	0	-0.0583305	0.100144	-1.50917e-08
1	7	23	0	0.0	1.0	0.0
1	8	24	0	0.273125	0.0999122	1.06085e-08
1	9	25	0	0.0	1.0	0.0
1	10	26	0	0.514126	0.0997016	1.0937e-08
1	11	27	0	0.0	1.0	0.0
1	12	28	0	-31.0678	0.11729	-1.08991e-06
1	13	29	0	0.0	1.0	0.0
1	14	30	0	0.876619	0.0994273	8.45491e-08
1	15	31	0	0.0	1.0	0.0
2	0	32	0	-0.0848095	0.10026	-3.19966e-08
2	1	33	0	0.0	1.0	0.0
