sid	ch	det	crystal	a0	a1	a2
0	0	0	0	0.286622	0.100505	9.52897e-09
0	1	1	0	0.0	1.0	0.0
0	2	2	0	0.816055	0.0997133	2.76079e-08
0	3	3	0	0.0	1.0	0.0
0	4	4	0	0.0	0.0	0.0
0	5	5	0	0.0	1.0	0.0
0	6	6	0	-0.535471	0.100171	-3.83749e-08
0	7	7	0	0.0	1.0	0.0
0	8	8	0	-0.109735	0.0998837	-5.11121e-09
0	9	9	0	0.0	1.0	0.0
0	10	10	0	-0.0823905	0.100197	-2.56756e-08
0	11	11	0	0.0	1.0	0.0
0	12	12	0	12.1897	0.0172154	1.69542e-06
0	13	13	0	0.0	1.0	0.0
0	14	14	0	0.584163	0.099536	3.81614e-09
0	15	15	0	0.0	1.0	0.0
1	0	16	0	0.456559	0.0992291	1.35745e-08
1	1	17	0	0.0	1.0	0.0
1	2	18	0	-1.69818	0.1008	-1.10951e-07
1	3	19	0	0.0	1.0	0.0
1	4	20	0	2.50107	0.0984795	1.14828e-07
1	5	21	0	0.0	1.0	0.0
1	6	22	0	-0.012998	0.100068	-6.61189e-09
1	7	23	0	0.0	1.0	0.0
1	8	24	0	0.506212	0.0999939	-2.47831e-09
1	9	25	0	0.0	1.0	0.0
1	10	26	0	-28.5701	0.111534	-9.53674e-07
1	11	27	0	0.0	1.0	0.0
1 12 -1.44327 0.105131 -3.19282e-08 0.0347535 -1.27157e-06
1	13	29	0	0.0	1.0	0.0
1 14 -0.465348 0.0995648 3.19403e-08 0.0632905 1.17665e-06
1	15	31	0	0.0	1.0	0.0
2	0	32	0	0.217003	0.100034	-8.59769e-09
2	1	33	0	0.0	1.0	0.0
