sid	ch	det	crystal	a0	a1	a2
0	0	0	0	0.0445888	0.100514	-8.76263e-09
0	1	1	0	0.0	1.0	0.0
0	2	2	0	0.267589	0.0998466	-1.59736e-09
0	3	3	0	0.0	1.0	0.0
0	4	4	0	0.0	0.0	0.0
0	5	5	0	0.0	1.0	0.0
0	6	6	0	-0.245699	0.0999867	-1.06607e-08
0	7	7	0	0.0	1.0	0.0
0	8	8	0	-0.225648	0.100604	-1.97316e-08
0	9	9	0	0.0	1.0	0.0
0	10	10	0	0.0306683	0.100145	-1.40114e-08
0	11	11	0	0.0	1.0	0.0
0	12	12	0	0.429432	0.100271	-4.70924e-09
0	13	13	0	0.0	1.0	0.0
0	14	14	0	0.00239458	0.0998566	-1.31119e-08
0	15	15	0	0.0	1.0	0.0
1	0	16	0	0.03344	0.0998989	-5.91896e-10
1	1	17	0	0.0	1.0	0.0
1	2	18	0	-0.682892	0.100415	-3.35349e-08
1	3	19	0	0.0	1.0	0.0
1	4	20	0	-0.155372	0.099706	2.21274e-08
1	5	21	0	0.0	1.0	0.0
1	6	22	0	-0.32587	0.1003	-2.10276e-08
1	7	23	0	0.0	1.0	0.0
1	8	24	0	0.18333	0.100026	4.3852e-09
1	9	25	0	0.0	1.0	0.0
1	10	26	0	-0.00552179	0.100277	-1.77246e-08
1	11	27	0	0.0	1.0	0.0
1 12 -1.44327 0.105131 -3.19282e-08 -0.21571 0.00029572
1	13	29	0	0.0	1.0	0.0
1 14 -0.175259 0.10006 1.97696e-08 0.100054 2.19748e-08
1	15	31	0	0.0	1.0	0.0
2	0	32	0	0.0874143	0.10015	-1.3496e-08
2	1	33	0	0.0	1.0	0.0
