sid	ch	det	crystal	a0	a1	a2
0	0	0	0	0.142759	0.100344	-6.4802e-10
0	1	1	0	0.0	1.0	0.0
0	2	2	0	0.254155	0.100089	-9.06134e-10
0	3	3	0	0.0	1.0	0.0
0	4	4	0	0.0	0.0	0.0
0	5	5	0	0.0	1.0	0.0
0	6	6	0	-0.349899	0.0999952	-1.49436e-08
0	7	7	0	0.0	1.0	0.0
0	8	8	0	-0.241523	0.100101	-1.80799e-08
0	9	9	0	0.0	1.0	0.0
0	10	10	0	-0.0445607	0.100148	-1.36181e-08
0	11	11	0	0.0	1.0	0.0
0	12	12	0	0.549906	0.0999653	-1.10493e-09
0	13	13	0	0.0	1.0	0.0
0	14	14	0	0.0808309	0.099815	-1.30534e-08
0	15	15	0	0.0	1.0	0.0
1	0	16	0	0.0126119	0.099397	3.40104e-09
1	1	17	0	0.0	1.0	0.0
1	2	18	0	-0.147212	0.100202	-1.87769e-08
1	3	19	0	0.0	1.0	0.0
1	4	20	0	-0.570477	0.0999963	-1.66743e-09
1	5	21	0	0.0	1.0	0.0
1	6	22	0	-0.216893	0.10025	-1.89038e-08
1	7	23	0	0.0	1.0	0.0
1	8	24	0	0.247335	0.100059	-5.38789e-09
1	9	25	0	0.0	1.0	0.0
1	10	26	0	0.561224	0.0999684	1.1322e-08
1	11	27	0	0.0	1.0	0.0
1 12 -1.44327 0.105131 -3.19282e-08 0.106035 -1.02937e-07
1	13	29	0	0.0	1.0	0.0
1 14 0.0 0.0 0.0 0.099989 1.85332e-09
1	15	31	0	0.0	1.0	0.0
2	0	32	0	0.216639	0.100056	-9.90056e-09
2	1	33	0	0.0	1.0	0.0
