sid	ch	det	crystal	a0	a1	a2
0	0	0	0	0.0710969	0.10101	-1.37512e-08
0	1	1	0	0.0	1.0	0.0
0	2	2	0	0.610469	0.0999978	1.22429e-08
0	3	3	0	0.0	1.0	0.0
0	4	4	0	0.0	0.0	0.0
0	5	5	0	0.0	1.0	0.0
0	6	6	0	-0.350268	0.100035	-1.76468e-08
0	7	7	0	0.0	1.0	0.0
0	8	8	0	-0.297709	0.100457	-2.28823e-08
0	9	9	0	0.0	1.0	0.0
0	10	10	0	-0.18763	0.10017	-2.32004e-08
0	11	11	0	0.0	1.0	0.0
0	12	12	0	0.329416	0.100227	-1.35403e-09
0	13	13	0	0.0	1.0	0.0
0	14	14	0	0.0935555	0.0998024	-1.06746e-08
0	15	15	0	0.0	1.0	0.0
1	0	16	0	-0.248693	0.100365	-9.24027e-10
1	1	17	0	0.0	1.0	0.0
1	2	18	0	-0.229488	0.100225	-2.07394e-08
1	3	19	0	0.0	1.0	0.0
1	4	20	0	0.0379967	0.0994216	4.22077e-08
1	5	21	0	0.0	1.0	0.0
1	6	22	0	0.173104	0.0998776	1.26184e-08
1	7	23	0	0.0	1.0	0.0
1	8	24	0	0.268933	0.099969	1.04571e-09
1	9	25	0	0.0	1.0	0.0
1	10	26	0	-0.294132	0.100517	-4.35909e-08
1	11	27	0	0.0	1.0	0.0
1 12 -1.44327 0.105131 -3.19282e-08 0.106178 -1.24205e-07
1	13	29	0	0.0	1.0	0.0
1 14 -0.483313 0.0998927 5.07568e-09 0.0995489 4.79076e-08
1	15	31	0	0.0	1.0	0.0
2	0	32	0	0.137489	0.100132	-1.63248e-08
2	1	33	0	0.0	1.0	0.0
