sid	ch	det	crystal	a0	a1	a2
0	0	0	0	-0.00552877	0.100403	-6.13761e-09
0	1	1	0	0.0	1.0	0.0
0	2	2	0	0.244597	0.0998444	-5.95565e-10
0	3	3	0	0.0	1.0	0.0
0	4	4	0	0.0	0.0	0.0
0	5	5	0	0.0	1.0	0.0
0	6	6	0	-0.260649	0.100035	-1.2351e-08
0	7	7	0	0.0	1.0	0.0
0	8	8	0	-0.491129	0.10071	-3.39172e-08
0	9	9	0	0.0	1.0	0.0
0	10	10	0	-0.00671674	0.100144	-1.26589e-08
0	11	11	0	0.0	1.0	0.0
0	12	12	0	0.389565	0.100312	-6.26231e-09
0	13	13	0	0.0	1.0	0.0
0	14	14	0	0.059615	0.0998669	-1.48757e-08
0	15	15	0	0.0	1.0	0.0
1	0	16	0	-0.162389	0.0998225	8.69578e-09
1	1	17	0	0.0	1.0	0.0
1	2	18	0	-0.0757549	0.100177	-1.64549e-08
1	3	19	0	0.0	1.0	0.0
1	4	20	0	-0.298805	0.0997973	1.2878e-08
1	5	21	0	0.0	1.0	0.0
1	6	22	0	-0.310391	0.0999967	-2.27713e-08
1	7	23	0	0.0	1.0	0.0
1	8	24	0	0.240857	0.0999887	9.18928e-09
1	9	25	0	0.0	1.0	0.0
1	10	26	0	0.3379	0.100233	-1.80057e-08
1	11	27	0	0.0	1.0	0.0
1 12 -1.44327 0.105131 -3.19282e-08 0.105952 -1.0929e-07
1	13	29	0	0.0	1.0	0.0
1 14 -0.156881 0.100083 1.68892e-08 0.0999553 4.06089e-08
1	15	31	0	0.0	1.0	0.0
2	0	32	0	0.13064	0.100127	-1.20356e-08
2	1	33	0	0.0	1.0	0.0
