sid	ch	det	crystal	a0	a1	a2
0	0	0	0	0.16279	0.100648	-1.07686e-08
0	1	1	0	0.0	1.0	0.0
0	2	2	0	0.523591	0.0997809	-5.55911e-09
0	3	3	0	0.0	1.0	0.0
0	4	4	0	0.0	0.0	0.0
0	5	5	0	0.0	1.0	0.0
0	6	6	0	-0.491144	0.100043	-1.60298e-08
0	7	7	0	0.0	1.0	0.0
0	8	8	0	-0.843773	0.100832	-4.21325e-08
0	9	9	0	0.0	1.0	0.0
0	10	10	0	-0.138903	0.100237	-3.34328e-08
0	11	11	0	0.0	1.0	0.0
0	12	12	0	0.750539	0.100027	1.79175e-08
0	13	13	0	0.0	1.0	0.0
0	14	14	0	0.00999266	0.0999012	-2.36455e-08
0	15	15	0	0.0	1.0	0.0
1	0	16	0	-0.0603091	0.0996922	9.46719e-10
1	1	17	0	0.0	1.0	0.0
1	2	18	0	-0.585726	0.100529	-5.30464e-08
1	3	19	0	0.0	1.0	0.0
1	4	20	0	0.00228612	0.099749	4.04663e-08
1	5	21	0	0.0	1.0	0.0
1	6	22	0	-0.0461369	0.0999945	8.13002e-09
1	7	23	0	0.0	1.0	0.0
1	8	24	0	0.100904	0.100069	-6.55879e-09
1	9	25	0	0.0	1.0	0.0
1	10	26	0	0.758414	0.100046	0.0
1	11	27	0	0.0	1.0	0.0
1	12	28	0	-5.55672	0.106524	-1.52999e-07
1	13	29	0	0.0	1.0	0.0
1	14	30	0	-0.501438	0.0997543	3.52036e-08
1	15	31	0	0.0	1.0	0.0
2	0	32	0	0.124059	0.100139	-1.59107e-08
2	1	33	0	0.0	1.0	0.0
