sid	ch	det	crystal	a0	a1	a2
0	0	0	0	0.156546	0.100846	6.6391e-09
0	1	1	0	0.0	1.0	0.0
0	2	2	0	-1.49987	0.100714	-4.61979e-08
0	3	3	0	0.0	1.0	0.0
0	4	4	0	0.0	0.0	0.0
0	5	5	0	0.0	1.0	0.0
0	6	6	0	-0.380102	0.0999959	-1.58849e-08
0	7	7	0	0.0	1.0	0.0
0	8	8	0	-0.35862	0.100478	-2.72087e-08
0	9	9	0	0.0	1.0	0.0
0	10	10	0	-0.043762	0.100065	-1.69232e-08
0	11	11	0	0.0	1.0	0.0
0	12	12	0	0.982949	0.0999646	1.69917e-08
0	13	13	0	0.0	1.0	0.0
0	14	14	0	-0.118394	0.0998526	-2.01251e-08
0	15	15	0	0.0	1.0	0.0
1	0	16	0	-0.338304	0.0999755	1.08852e-09
1	1	17	0	0.0	1.0	0.0
1	2	18	0	-0.319491	0.10027	-2.33147e-08
1	3	19	0	0.0	1.0	0.0
1	4	20	0	0.22539	0.0993139	5.56633e-08
1	5	21	0	0.0	1.0	0.0
1	6	22	0	-0.128092	0.0997603	-3.41262e-09
1	7	23	0	0.0	1.0	0.0
1	8	24	0	0.191835	0.0999916	5.32258e-09
1	9	25	0	0.0	1.0	0.0
1	10	26	0	0.206945	0.100189	-1.14122e-08
1	11	27	0	0.0	1.0	0.0
1	12	28	0	-3.85697	0.105945	-9.93226e-08
1	13	29	0	0.0	1.0	0.0
1	14	30	0	0.0788253	0.0999867	2.28625e-08
1	15	31	0	0.0	1.0	0.0
2	0	32	0	0.121659	0.100093	-1.34769e-08
2	1	33	0	0.0	1.0	0.0
