sid	ch	det	crystal	a0	a1	a2
0	0	0	0	0.329919	0.100379	1.21254e-09
0	1	1	0	0.0	1.0	0.0
0	2	2	0	-0.941962	0.100439	-2.88018e-08
0	3	3	0	0.0	1.0	0.0
0	4	4	0	0.0	0.0	0.0
0	5	5	0	0.0	1.0	0.0
0	6	6	0	-0.258125	0.100008	-1.90608e-08
0	7	7	0	0.0	1.0	0.0
0	8	8	0	-0.494371	0.100608	-3.18485e-08
0	9	9	0	0.0	1.0	0.0
0	10	10	0	-0.10841	0.100216	-2.58799e-08
0	11	11	0	0.0	1.0	0.0
0	12	12	0	0.709091	0.100094	0.0
0	13	13	0	0.0	1.0	0.0
0	14	14	0	-0.473121	0.0999866	-2.96889e-08
0	15	15	0	0.0	1.0	0.0
1	0	16	0	0.390987	0.0996361	3.77757e-08
1	1	17	0	0.0	1.0	0.0
1	2	18	0	-0.205334	0.100227	-2.13551e-08
1	3	19	0	0.0	1.0	0.0
1	4	20	0	-0.381775	0.0997775	3.60401e-09
1	5	21	0	0.0	1.0	0.0
1	6	22	0	-0.171585	0.0998601	-1.75022e-08
1	7	23	0	0.0	1.0	0.0
1	8	24	0	5.54857	0.0632444	1.25741e-06
1	9	25	0	0.0	1.0	0.0
1	10	26	0	0.910668	0.0998419	3.23813e-08
1	11	27	0	0.0	1.0	0.0
1	12	28	0	478.858	-0.0119907	0.000207456
1	13	29	0	0.0	1.0	0.0
1	14	30	0	-0.301665	0.0999136	4.19969e-08
1	15	31	0	0.0	1.0	0.0
2	0	32	0	-0.00951322	0.100227	-2.82737e-08
2	1	33	0	0.0	1.0	0.0
