sid	ch	det	crystal	a0	a1	a2
0	0	0	0	0.152876	0.10052	3.82116e-09
0	1	1	0	0.0	1.0	0.0
0	2	2	0	-0.928845	0.100786	-5.16901e-08
0	3	3	0	0.0	1.0	0.0
0	4	4	0	0.0	0.0	0.0
0	5	5	0	0.0	1.0	0.0
0	6	6	0	-0.266034	0.100166	-2.77694e-08
0	7	7	0	0.0	1.0	0.0
0	8	8	0	-0.481159	0.100382	-3.77133e-08
0	9	9	0	0.0	1.0	0.0
0	10	10	0	0.350602	0.100201	-3.21705e-08
0	11	11	0	0.0	1.0	0.0
0	12	12	0	-0.408676	0.100372	-3.34377e-08
0	13	13	0	0.0	1.0	0.0
0	14	14	0	-0.219107	0.100127	-2.65689e-08
0	15	15	0	0.0	1.0	0.0
1	0	16	0	-0.211011	0.099796	8.24356e-09
1	1	17	0	0.0	1.0	0.0
1	2	18	0	-0.434641	0.100577	-6.93464e-08
1	3	19	0	0.0	1.0	0.0
1	4	20	0	-0.467685	0.0998349	-8.85989e-09
1	5	21	0	0.0	1.0	0.0
1	6	22	0	-0.209302	0.0997842	3.72342e-08
1	7	23	0	0.0	1.0	0.0
1	8	24	0	-0.306578	0.100326	-2.82288e-08
1	9	25	0	0.0	1.0	0.0
1	10	26	0	0.403709	0.0999723	3.68914e-09
1	11	27	0	0.0	1.0	0.0
1	12	28	0	250.654	0.000414445	9.15527e-06
1	13	29	0	0.0	1.0	0.0
1	14	30	0	-0.297023	0.10033	-5.44784e-08
1	15	31	0	0.0	1.0	0.0
2	0	32	0	-0.381662	0.100299	-3.41952e-08
2	1	33	0	0.0	1.0	0.0
