sid	ch	det	crystal	a0	a1	a2
0	0	0	0	0.191937	0.100423	8.50223e-10
0	1	1	0	0.0	1.0	0.0
0	2	2	0	0.282728	0.0997866	2.87683e-09
0	3	3	0	0.0	1.0	0.0
0	4	4	0	0.0	0.0	0.0
0	5	5	0	0.0	1.0	0.0
0	6	6	0	-0.203977	0.0999913	-1.0426e-08
0	7	7	0	0.0	1.0	0.0
0	8	8	0	-0.258123	0.100623	-2.21064e-08
0	9	9	0	0.0	1.0	0.0
0	10	10	0	0.0362084	0.100102	-1.1291e-08
0	11	11	0	0.0	1.0	0.0
0	12	12	0	0.478954	0.100224	-1.37871e-10
0	13	13	0	0.0	1.0	0.0
0	14	14	0	0.127222	0.099807	-9.65884e-09
0	15	15	0	0.0	1.0	0.0
1	0	16	0	-0.0127508	0.0998255	2.52808e-09
1	1	17	0	0.0	1.0	0.0
1	2	18	0	0.0284784	0.0997975	-1.23124e-08
1	3	19	0	0.0	1.0	0.0
1	4	20	0	0.00228612	0.099749	4.04663e-08
1	5	21	0	0.0	1.0	0.0
1	6	22	0	-0.0491093	0.0997111	2.48458e-09
1	7	23	0	0.0	1.0	0.0
1	8	24	0	0.233834	0.100009	7.66488e-09
1	9	25	0	0.0	1.0	0.0
1	10	26	0	0.270893	0.100167	-1.03782e-08
1	11	27	0	0.0	1.0	0.0
1	12	28	0	-1.44327	0.105131	-3.19282e-08
1	13	29	0	0.0	1.0	0.0
1	14	30	0	-0.175259	0.10006	1.97696e-08
1	15	31	0	0.0	1.0	0.0
2	0	32	0	0.160816	0.100099	-9.08642e-09
2	1	33	0	0.0	1.0	0.0
