sid	ch	det	crystal	a0	a1	a2
0	0	0	0	0.220085	0.100016	3.84682e-09
0	1	1	0	0.0	1.0	0.0
0	2	2	0	0.229493	0.0995892	3.80656e-09
0	3	3	0	0.0	1.0	0.0
0	4	4	0	0.0	0.0	0.0
0	5	5	0	0.0	1.0	0.0
0	6	6	0	-0.169009	0.0998402	-9.98189e-09
0	7	7	0	0.0	1.0	0.0
0	8	8	0	-0.185521	0.10044	-2.07942e-08
0	9	9	0	0.0	1.0	0.0
0	10	10	0	0.0700853	0.099916	-8.94125e-09
0	11	11	0	0.0	1.0	0.0
0	12	12	0	0.37601	0.100382	-1.60995e-09
0	13	13	0	0.0	1.0	0.0
0	14	14	0	0.173652	0.0996511	-1.08218e-08
0	15	15	0	0.0	1.0	0.0
1	0	16	0	0.0779204	0.0996539	1.37911e-09
1	1	17	0	0.0	1.0	0.0
1	2	18	0	-0.0136811	0.0998558	-1.46318e-08
1	3	19	0	0.0	1.0	0.0
1	4	20	0	1.07371	0.0989648	8.83399e-08
1	5	21	0	0.0	1.0	0.0
1	6	22	0	-0.0514524	0.0999758	7.58917e-09
1	7	23	0	0.0	1.0	0.0
1	8	24	0	0.21571	0.100022	3.90533e-09
1	9	25	0	0.0	1.0	0.0
1	10	26	0	0.224283	0.100234	-1.20199e-08
1	11	27	0	0.0	1.0	0.0
1	12	28	0	-1.0207	0.10501	-3.10685e-08
1	13	29	0	0.0	1.0	0.0
1	14	30	0	-0.288594	0.0997405	2.1318e-08
1	15	31	0	0.0	1.0	0.0
2	0	32	0	0.109309	0.100064	-6.59448e-09
2	1	33	0	0.0	1.0	0.0
